feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53
0.1877741,0.032891132,-0.3874338,-0.25409085,-0.2669255,0.24021256,-0.2559648,-0.2594101,0.24567941,0.13649583,-0.45157996,-0.3783537,-0.716667,-0.72351724,0.39901286,0.72297484,-0.6715053,-0.12387715,-0.2715842,-0.25233254,-0.7229983,-0.65853757,-0.32686147,-0.18257162,0.24567941,0.13649583,-0.45157996,-0.3783537,-0.716667,-0.72351724,-0.43847665,-0.48456046,0.0,0.0,0.0,0.0,0.0,0.0,-0.2913333,-0.21952118,0.094778806,-0.051153,-0.32625085,-0.26119915,-0.610242,-0.6441598,-0.28617346,-0.1657544,-0.02858054,-0.008982816,-0.35826772,-0.23845553,-0.6791531,-0.68664545
0.99380237,-0.1772092,0.42115983,0.8043533,0.35667613,0.30775115,0.7665267,0.34516606,-1.9429454,-5.2198133,0.20046604,0.6563474,2.1442833,2.0289156,1.3431839,1.5405114,2.0799575,5.4716663,-0.0118355835,0.6852269,2.769941,3.0919359,1.8776908,1.0859785,-1.9429454,-5.2198133,0.20046604,0.6563474,2.1442833,2.0289156,0.041985746,0.54114187,0.0,0.0,0.0,0.0,0.0,0.0,-0.023164539,-0.2465556,-0.21913834,0.31216636,-0.0074515752,-0.08646071,0.05995673,-0.058720253,0.38762286,-0.122480586,-0.50503784,-0.6016237,0.290598,1.1899227,-0.07503343,0.30070052
0.5059141,0.05095207,-0.27098623,-0.587666,-0.8374133,0.15387157,-0.518508,-0.64551824,0.24567941,-1.6212581,-0.078520626,-0.53529805,0.2084297,0.96199286,-0.11278464,-0.23737454,-0.6715053,2.8698893,1.1806806,-0.43624482,0.589528,1.2685058,-0.50504684,-0.7753517,0.24567941,-1.6212581,-0.078520626,-0.53529805,0.2084297,0.96199286,-0.35288948,-0.9027127,0.0,0.0,0.0,0.0,0.0,0.0,-0.6113811,-0.63033736,-0.15570478,0.11211616,-0.5375526,-0.5251996,0.5396528,0.63406605,-0.62709683,-0.63259095,0.05763875,-0.063233525,-0.48131198,-0.42497995,0.15522237,0.42364836
-0.15125124,0.38188288,0.50082093,0.30318058,0.33992553,0.30775115,0.32148767,0.17905866,-0.32291463,0.281873,0.1265325,0.014066484,-0.032092478,0.053199492,0.90873593,1.2899545,1.1894602,-0.6868914,0.26782766,-0.0034783594,0.28729132,0.51547295,0.2685123,0.19710377,-0.32291463,0.281873,0.1265325,0.014066484,-0.032092478,0.053199492,0.066575155,0.18191738,0.0,0.0,0.0,0.0,0.0,0.0,0.13772981,0.09526497,-0.14198303,-1.0904781,0.19911231,0.25456372,1.0808383,1.0701777,0.14886197,0.064469464,0.30641332,0.67557615,0.19274996,0.57315725,0.6434296,0.8857826
-0.4984764,0.08717756,-0.7433375,-0.6577501,-0.39367634,-0.11422791,-0.6552298,-0.72017694,0.24567941,0.28308368,-0.53977966,-0.58927834,-0.50707173,-0.25800794,-0.8641141,-0.8913575,-0.6715053,-0.69659585,-0.31301823,-0.52920496,-0.5426701,-0.48151195,-0.5412451,-0.59995914,0.24567941,0.28308368,-0.53977966,-0.58927834,-0.50707173,-0.25800794,-0.4351036,-0.4620732,0.0,0.0,0.0,0.0,0.0,0.0,-0.6266328,-0.6340259,0.18741538,0.025896635,-0.6607614,-0.6285756,-0.35142934,-0.26026464,-0.61600417,-0.5941142,-0.20802857,-0.15721351,-0.76620734,-0.42497578,-0.46693134,-0.29257205
1.0022707,-1.284272,0.33003092,-0.6577501,0.22774273,0.30775115,-0.6661488,-0.72968215,0.24567941,0.28308368,-0.8618915,-0.49093083,-0.5104517,-0.04066764,-0.89698213,-0.9978105,-0.6715053,-0.69659585,-1.1771024,-0.16957563,-1.0491443,-0.93426937,-0.7784619,-0.74715924,0.24567941,0.28308368,-0.8618915,-0.49093083,-0.5104517,-0.04066764,-0.903085,-0.64603865,0.0,0.0,0.0,0.0,0.0,0.0,-0.74887514,-0.64726096,-1.3930557,0.45668665,-0.6683905,-0.6851797,-0.8199946,-0.8215379,-0.794364,-0.39291462,0.8253181,-1.5128762,-0.71522444,-0.78628266,-0.95071965,-0.9448721
0.23793745,0.08678037,0.03049354,0.043355726,0.004036649,-0.104973115,0.051809244,0.04101064,0.02168364,0.14561701,0.10609941,0.0919403,0.016825601,-0.00984537,0.70945525,1.1528863,0.5738382,0.105905734,0.5529634,0.4028793,0.25492024,0.28356826,0.1292538,0.16038717,0.02168364,0.14561701,0.10609941,0.0919403,0.016825601,-0.00984537,0.16878556,0.15442505,0.0,0.0,0.0,0.0,0.0,0.0,0.045511864,0.053480253,0.009216706,0.089194186,0.060122613,0.063027345,0.07090234,0.06598887,0.06624836,0.06775967,0.041575827,-0.09882108,0.10628172,0.056364276,0.10976751,0.07954569
0.9235403,-0.057065926,0.11749685,0.10665615,0.042482056,0.30775115,0.3557251,0.40076587,0.24567941,0.28308368,-0.019215755,0.18583103,1.3222622,0.822452,0.8315126,1.4485548,-0.6715053,-0.69659585,-0.14860533,0.024857316,1.6028912,1.6123171,0.16403498,0.3063772,0.24567941,0.28308368,-0.019215755,0.18583103,1.3222622,0.822452,0.098215126,0.48783845,0.0,0.0,0.0,0.0,0.0,0.0,0.11208366,0.2768059,0.01982155,0.44313416,0.06039585,0.19418998,-0.2393887,-0.31475085,0.08606252,0.20811352,0.08573369,-0.19489263,-0.056456853,0.122475624,0.032928236,-0.12739727
0.25517935,-0.17048983,-0.16335459,-0.36692354,0.21206588,-0.14389212,-0.23724177,-0.3322444,-0.042721458,-0.016571097,-0.31347147,-0.17913392,0.046815086,0.16613366,0.5998184,0.64676845,0.49015054,0.44720018,0.029748322,0.53361315,0.17778672,0.22540313,-0.27299663,-0.31053695,-0.042721458,-0.016571097,-0.31347147,-0.17913392,0.046815086,0.16613366,-0.27578682,-0.35129163,0.0,0.0,0.0,0.0,0.0,0.0,-0.26295206,-0.30092138,0.10032941,-0.03567804,-0.24241705,-0.2692284,0.2521956,0.24402535,-0.26605517,-0.30638102,-0.052897695,-0.053898465,-0.17878585,-0.09710352,0.14225696,0.21978442
-0.22991048,-0.14381823,-0.26191682,-0.5375551,0.39059108,0.24900264,-0.49984005,-0.552614,0.043351907,0.08674401,-0.049638413,-0.074655876,0.7356902,0.61924917,-0.41223168,0.03443665,0.44818583,0.19470935,0.5402035,0.2868254,1.0728825,1.1390945,-0.3162839,-0.44003275,0.043351907,0.08674401,-0.049638413,-0.074655876,0.7356902,0.61924917,-0.3002422,-0.2837802,0.0,0.0,0.0,0.0,0.0,0.0,-0.4958819,-0.5248453,-0.42437154,-0.08417173,-0.41851443,-0.45791,0.5347961,0.5828576,-0.5098353,-0.5353262,0.39983654,0.13252662,-0.22466487,-0.36666593,-0.015904322,0.13290025
-1.9880234,2.191587,4.3688703,4.6434107,-0.8672591,0.30775115,4.743713,2.4988437,0.24567941,0.28308368,3.0511494,1.4409776,0.7161347,-0.21821283,3.4827874,-0.9978105,-0.6715053,-0.69659585,2.246881,-0.43258622,1.3417553,0.15070507,2.218897,2.236517,0.24567941,0.28308368,3.0511494,1.4409776,0.7161347,-0.21821283,3.2284613,2.2815905,0.0,0.0,0.0,0.0,0.0,0.0,3.10986,2.615364,0.8543145,0.260872,3.2040358,2.6458185,-0.087312475,-0.08282178,3.2899647,2.6151407,-0.67869914,-0.3440336,2.6418548,0.9724031,0.9580122,1.0965049
-0.43106076,-0.18571936,0.3834163,0.37331045,-0.39344472,0.2389067,0.37734753,0.59632003,0.24567941,0.17042427,0.28117785,0.59831864,-0.012405768,-0.11057792,0.55532515,1.5027679,-0.6715053,-0.038005214,0.2918747,1.55701,0.05394176,0.040153522,0.24308144,0.42922565,0.24567941,0.17042427,0.28117785,0.59831864,-0.012405768,-0.11057792,0.3447391,0.53977585,0.0,0.0,0.0,0.0,0.0,0.0,0.4871702,0.5371396,0.23784328,0.13383412,0.46064666,0.5131928,0.1020452,0.08965731,0.4755712,0.5477072,-0.05236228,0.13119529,0.3841975,0.49133718,0.18046856,0.2228618
-0.049128585,-0.18447988,-0.38425884,-0.5230295,-0.27670562,0.12441137,-0.54429317,-0.5678413,0.1716847,0.16226602,-0.59219915,-0.6037375,-0.098053664,0.043777253,-0.4911447,0.07802687,0.028003842,0.044357307,-0.502037,-0.48812512,0.020799097,0.24937373,-0.5764217,-0.5997493,0.1716847,0.16226602,-0.59219915,-0.6037375,-0.098053664,0.043777253,-0.63468677,-0.6927155,0.0,0.0,0.0,0.0,0.0,0.0,-0.49038565,-0.51482797,0.04165417,0.18210195,-0.47763452,-0.49877134,0.048845306,0.07743191,-0.47481072,-0.5057552,-0.11240101,-0.23081717,-0.4090237,-0.3734239,-0.3091077,-0.15383789
0.2801901,0.15844035,0.7977486,0.9231571,0.16682099,-0.1960574,0.8745638,1.0691448,0.047216486,0.0064556245,0.60891,0.56090707,-0.36902866,-0.2917007,1.4007689,1.5048723,0.3705682,0.38609615,0.70192087,0.09198395,-0.06177224,0.08713142,0.45110968,0.7451516,0.047216486,0.0064556245,0.60891,0.56090707,-0.36902866,-0.2917007,0.5449202,0.804571,0.0,0.0,0.0,0.0,0.0,0.0,0.98084694,1.0285629,-0.26578182,0.09389501,0.95586854,0.9578474,-0.13692519,-0.13465238,0.97483015,0.98335546,0.3406539,-0.00610111,0.8316299,0.55537885,0.28244835,0.22377792
0.37894365,-0.27815986,-0.73486257,-0.6335481,-1.498352,0.082623936,-0.6088657,-0.6985467,0.2405951,0.23524792,-0.5828808,-0.5714166,-0.07227421,-0.08118776,-0.657557,-0.5846464,-0.63715035,-0.52478844,-0.23245355,0.042820215,-0.54421294,-0.7246309,-0.5242451,-0.6897751,0.2405951,0.23524792,-0.5828808,-0.5714166,-0.07227421,-0.08118776,-0.48267418,-0.7325752,0.0,0.0,0.0,0.0,0.0,0.0,-0.6106296,-0.62840676,-0.053711355,0.034430705,-0.60574085,-0.593247,-0.0060628443,0.047568556,-0.6583931,-0.67256063,-0.024829531,-0.10162232,-0.5211503,-0.5265165,-0.1995212,-0.20567097
0.47568995,0.12213452,-0.3370249,-0.18683219,0.11087008,0.30775115,-0.11898236,-0.096111044,-0.05501147,-0.42575103,-0.13423784,-0.15088464,-0.012628725,-0.079827614,0.47550136,1.0139014,0.73583263,1.3339437,0.47442123,0.3033536,0.0058406903,-0.10668098,-0.2646896,-0.23238839,-0.05501147,-0.42575103,-0.13423784,-0.15088464,-0.012628725,-0.079827614,-0.1812889,-0.12212809,0.0,0.0,0.0,0.0,0.0,0.0,-0.12322444,-0.16818452,0.2599521,-0.22518416,-0.13916115,-0.1775112,0.32155466,0.39540753,-0.06923863,-0.113089845,-0.1662637,0.060879193,-0.07110899,-0.07447187,0.23995745,0.28174525
-1.1358806,0.4952348,-0.32488522,-0.6577501,-0.08671289,-0.23082739,-0.62722546,-0.7185449,-0.8081723,0.28308368,-0.7529687,-0.63151604,0.51866776,0.2982646,-0.8276148,-0.91453373,2.032625,-0.69659585,-0.95853174,-0.5521873,0.51538205,0.08183996,-0.5613806,-0.71912235,-0.8081723,0.28308368,-0.7529687,-0.63151604,0.51866776,0.2982646,-0.6384032,-0.78799546,0.0,0.0,0.0,0.0,0.0,0.0,-0.7443541,-0.80127317,0.2721708,-0.24110855,-0.6162931,-0.67872983,0.52267426,0.6120637,-0.749527,-0.8222436,-0.3918157,-0.032849878,-0.40081674,-0.5533934,-0.14513743,0.038366906
-0.8012713,-0.8050692,4.4547553,4.7242284,-0.19808444,0.30775115,5.2148523,2.4988437,0.24567941,0.28308368,4.4097905,2.297184,1.0097739,-0.45405024,5.5298796,-0.9978105,-0.6715053,-0.69659585,1.9879426,0.14415026,0.32418504,-0.3554251,3.4797413,1.3376755,0.24567941,0.28308368,4.4097905,2.297184,1.0097739,-0.45405024,5.248729,2.1261458,0.0,0.0,0.0,0.0,0.0,0.0,3.5480785,1.9802309,1.8047397,0.0023212733,3.2053807,2.0981839,-0.48209298,-0.4507073,4.4681377,2.6193252,-2.3449256,0.42387575,4.3771043,3.0147405,0.16214776,0.24793781
0.5673461,-0.28636333,-0.52952015,-0.5237617,-0.37457183,-0.09133513,-0.5103884,-0.58893234,0.119494915,0.22812037,-0.5815753,-0.38273257,-0.17662957,-0.17782193,-0.1736484,0.0027147133,0.046093497,-0.3101168,-0.24196972,1.2662984,-0.28994557,-0.33619967,-0.50200903,-0.6481364,0.119494915,0.22812037,-0.5815753,-0.38273257,-0.17662957,-0.17782193,-0.4930109,-0.69505775,0.0,0.0,0.0,0.0,0.0,0.0,-0.5592389,-0.5490705,-0.34586012,0.03132307,-0.56897163,-0.5535488,-0.08879369,-0.07264527,-0.5629168,-0.5210414,0.24573202,0.02049551,-0.50255376,-0.37615582,-0.40664995,-0.30355155
0.9808783,0.5003044,1.4873556,1.8885139,0.17799057,0.17842676,1.9621468,2.2994964,0.24567941,0.28308368,1.2236226,1.4920632,-0.5800702,-0.6661177,1.3618327,-0.09604085,-0.6715053,-0.69659585,0.11537065,0.09196487,-0.4337201,-0.46999475,2.2445989,2.4965727,0.24567941,0.28308368,1.2236226,1.4920632,-0.5800702,-0.6661177,1.3450935,1.9352361,0.0,0.0,0.0,0.0,0.0,0.0,1.8693889,2.19132,-0.1872311,-0.09249472,1.8353076,1.9971021,-0.60890335,-0.6328708,1.9434668,2.2387578,0.778853,0.520728,1.6602262,1.378937,0.3474705,0.09680538
0.3540014,0.25812647,-0.37450984,-0.33851928,0.085085444,0.017453497,-0.30868006,-0.31282505,0.10367103,0.14947502,-0.22818795,-0.38100782,-0.33143678,-0.22301057,0.1564562,0.6888227,0.32693842,0.18379626,0.16875166,-0.13682082,-0.49129048,-0.36478075,-0.18299326,-0.23986922,0.10367103,0.14947502,-0.22818795,-0.38100782,-0.33143678,-0.22301057,-0.034639202,-0.060259447,0.0,0.0,0.0,0.0,0.0,0.0,-0.23576023,-0.24635813,-0.26625168,-0.061402526,-0.27380866,-0.27488694,-0.28017753,-0.26501116,-0.18358435,-0.1806357,0.05950353,-0.09709277,-0.25454038,-0.09276044,-0.2609568,-0.22195931
-0.12619805,0.400993,0.9944971,1.468136,-1.6310394,0.30775115,1.704973,2.4988437,0.24567941,0.28308368,0.9002398,1.725916,-1.4783916,-0.31778204,0.7747334,-0.9978105,-0.6715053,-0.69659585,-0.33614975,-0.64255244,-1.1394999,-0.038745195,0.8504289,3.727339,0.24567941,0.28308368,0.9002398,1.725916,-1.4783916,-0.31778204,1.7204635,2.7095196,0.0,0.0,0.0,0.0,0.0,0.0,2.7995415,2.6906013,-0.17429185,0.1278126,2.5098677,2.609,-0.37318873,-0.4654616,3.00524,2.0719042,1.675197,0.6713493,2.3048084,3.4868762,0.5957716,0.59805745
0.14218092,0.09287104,-0.23596929,-0.33782786,-0.04555045,0.13361494,-0.3170339,-0.37755924,-0.18027364,0.019253472,-0.2005165,-0.47901708,0.15137081,0.45122522,0.2093788,0.57233566,0.96746135,0.45667207,0.25483832,-0.27134505,0.5540808,0.93090665,-0.20384908,-0.38066855,-0.18027364,0.019253472,-0.2005165,-0.47901708,0.15137081,0.45122522,-0.19703642,-0.38355023,0.0,0.0,0.0,0.0,0.0,0.0,-0.37324226,-0.43412352,-0.45415622,-0.124791406,-0.41414526,-0.4806803,0.1263693,0.1500443,-0.38159108,-0.3796461,0.11384722,0.028526744,-0.4373566,-0.4829331,-0.17318271,-0.17181297
